X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.73475992,43.47236678,Lexington Ave,Encounter,7/31/2016,,Complete
-79.7034845,43.42181813,457 Warminster Dr,Encounter,7/31/2016,,Complete
-79.70207192,43.42760403,,Sighting,9/2/2016,Seen frequently over past week. Stream opposite house. Adult and baby.,Complete
-79.7025321,43.42796486,,Sighting,9/4/2016,"Coyote was wandering through streets into several driveways and front lawns. Sighted from inside home. Appeared very thin, especially tail, similar to images of coyotes with mange.",Complete
-79.701549,43.42849871,,Sighting,9/4/2016,Coyote is believed to be living in back yard. Several sighting in the neighbourhood and we've hearing with howl at night.,Complete
-79.73152251,43.40051815,,Sighting,9/5/2016,"This coyote has been seen multiple times in our driveway and backyard. We are in a forested area, however the coyote feels too close for comfort. There is no lose food to attract them.",Complete
-79.69551263,43.40809457,,Sighting,9/10/2016,,Complete
-79.69709645,43.40619044,,Sighting,9/10/2016,Neighbour notice coyote resting on our driveway.  Took picture using her Samsung mobile at 9:30 a.m.,Complete
-79.69720097,43.40615623,,Sighting,9/10/2016,Neighbour notice coyote resting on our driveway.  Took picture using her Samsung mobile at 9:30 a.m.,Complete
-79.68779455,43.42213979,,Sighting,9/11/2016,"coyote saw me and my medium sized dog from about 100 feet away. I yelled and made a lot of noise, the dog growled and barked. He moved towards us and stopped. He did not retreat but held his ground. We moved away but he did not follow.",Complete
-79.70319043,43.42157484,,Sighting,9/9/2016,sighting on road beside Brook Valley Park on Warminister Road. Mangy-looking fur and was not intimidated by humans.,Complete
-79.70319043,43.42157484,,Sighting,9/9/2016,sighting on road beside Brook Valley Park on Warminister Road. Mangy-looking fur and was not intimidated by humans.,Complete
-79.70312069,43.42158652,,Sighting,9/9/2016,sighting on road beside Brook Valley Park on Warminister Road. Mangy-looking fur and was not intimidated by humans.,Complete
-79.73314896,43.40173412,,Sighting,9/11/2016,"My father in law saw two coyotes at the back of our business location at 576 Bronte street. Old Skid school address, at the back of the premises, they were hanging around in the bushes around 3pm.",Complete
-79.74682203,43.45074769,,Encounter,9/12/2016,Coyote was about 50m away as I walked south on Proudfoot Trail (east sidewalk) with my dog.  It barked/yelped/whine at us as walked along the cemetery fence but never got closer.  It didn't like my bright flashlight.,Complete
-79.6878115,43.43560096,,Sighting,9/13/2016,"Saw 2 coyotes on neighbors lawn while driving home. Followed them as I had passed pedestrians, coyotes ran into morden park and lost sight",Complete
-79.68947897,43.44821161,,Sighting,9/13/2016,Seen running eastbound along train tracks at Kerr street north of Speers road.,Complete
-79.68046675,43.44709776,,Sighting,9/13/2016,"Location : NE corner Queen Mary & Forster Park Drive 2 ""adult"" coyotes",Complete
-79.68662094,43.43078288,,Sighting,9/13/2016,"Coyote was walking around with blood on face and searching for food.  Ran towards YMCA of Oakville, it was reported to YMCA.",Complete
-79.68690111,43.43105107,,Sighting,9/13/2016,"I saw a coyote laying down in the parking lot of St. Paul's United Church.  After another car drove by, it went into the greenery between the church and the YMCA.",Complete
-79.66648422,43.50810836,,Sighting,9/13/2016,"At approximately 12:55 on upper middle road east, west of Winston Churchill - I saw a coyote outside on the grass between upper middle road and the Winston park plaza between Boston Pizza and Baton Rouge. Coyote was looking in direction of Plaza.",Complete
-79.73020366,43.38589074,,Sighting,9/15/2016,I was driving on Nautical Boulevard and saw a coyote on 3380 Rebecca Street grass area close to that woodlot (Halton Region Water Treatment Plant),Complete
-79.73252968,43.38642718,,Encounter,9/15/2016,I was driving on Nautical Blvd and saw a coyote on the grass area of 3380 Rebecca St. (Halton Region Water treatment plant) close to their woodlot.,Complete
-79.72979708,43.38544415,,Sighting,9/14/2016,I was driving on Nautical Blvd and saw the coyote on the grass cut area close to the woodlot of 3380 Rebecca St (Halton Region Water Purification Plant),Complete
-79.69724842,43.40817192,1521 Warland,Encounter,8/15/2016,,Complete
-79.69783159,43.40894444,Walby and Talbot ,Encounter,8/15/2016,,Complete
-79.70367707,43.42202801,457 Warminster Drive,Encounter,8/15/2016,,Complete
-79.69585712,43.40751918,66 Walby,Encounter,8/15/2016,,Complete
-79.69792539,43.40587917,Venetia Drive,Encounter,8/15/2016,,Complete
-79.703738,43.42199384,457 Warminster,Encounter,8/16/2016,,Complete
-79.70550988,43.41913032,1343 Sheldon,Encounter,8/16/2016,,Complete
-79.70409572,43.41747179,1326 Thornhill,Encounter,8/17/2016,,Complete
-79.69829881,43.40576207,Venetria Drive,Encounter,8/17/2016,,Complete
-79.70842059,43.41800938,342 SHerin Drive,Encounter,8/20/2016,,Complete
-79.70317236,43.41510141,Stanbury and Sherin,Encounter,8/22/2016,,Complete
-79.70272128,43.41551635,Stanbury Road,Encounter,8/22/2016,,Complete
-79.70731097,43.41718733,1343 Sherin Drive,Encounter,8/24/2016,,Complete
-79.70674437,43.4073485,Snowden Road,Encounter,8/24/2016,,Complete
-79.70702725,43.40755619,262 Snowden Road,Encounter,8/25/2016,,Complete
-79.69833009,43.42489952,Shaw and Willis,Encounter,8/28/2016,,Complete
-79.69685305,43.42616365,458 Smith Lane,Encounter,8/29/2016,,Complete
-79.69683716,43.4237327,399 Willis Drive,Encounter,9/1/2016,,Complete
-79.69415156,43.43225814,,Sighting,9/16/2016,I saw the coyote walking on the sidewalk as I pulled out of my driveway around 8:15pm.  It ran into a yard as my car approached.,Complete
-79.69972604,43.42423529,,Sighting,9/5/2016,"A very tall coyote has been in the neighbourhood regularly for a few weeks. Sitting on front lawns, and walking up and down the streets. With the kids starting school next week, this needs to be addressed. The same coyote patrols up and down shaw street.",Complete
-79.69650806,43.42627479,,Sighting,9/6/2016,At 4:15 in the afternoon I was standing at the post boxes when a coyote came down the street directly across from me.It was a beastly hot day and he trotted right past me on Shaw street.There were many people on the street and some took pictures.looked il,Complete
-79.70226854,43.42701416,,Encounter,9/7/2016,"BABY coyote sitting all morning at neighbors lawn in shade, skinny and small scratching himself a lot",Complete
-79.68207608,43.42814747,,Sighting,9/9/2016,Was walking my leashed dog on Birch Hill Lane around 19h30 - coyote crossed Birch Hill Lane from Lambert Commons and continued through.  Kept tight rein on my dog but admit kept looking over my shoulder to check if coyote circled back,Complete
-79.66914012,43.46962894,,Sighting,9/9/2016,At Cornwall Road Park for game - saw one walking along behind centre field (west diamond) - wasn't sure exactly what happened as we didn't want to get close but was told there were 4 of them - they apparently attacked a skunk,Complete
-79.70246535,43.42347307,,Encounter,9/9/2016,Coyote right at our back fence again in St. Joesph's Public School- came right up to our fence. I think they are preying on our small yorkie dogs now as they keep coming every morning and night now.,Complete
-79.68742977,43.43418962,,Sighting,9/9/2016,Saw a coyote crossing Southview Road down the path into Morden Public School play ground.,Complete
-79.68681658,43.45368549,Cross and Lyons Ln,Encounter,8/4/2016,,Complete
-79.69744769,43.43219547,Wildwood Drive,Encounter,8/7/2016,,Complete
-79.70022105,43.41307182,1386 Willowdown Road,Encounter,8/8/2016,,Complete
-79.70752022,43.4173473,Sherin Drive,Encounter,8/8/2016,,Complete
-79.7004179,43.41955331,Kinoak Arena,Encounter,8/8/2016,,Complete
-79.70572611,43.42048315,Waverly and Valley,Encounter,8/9/2016,,Complete
-79.70349943,43.41802627,Thornhill Drive,Encounter,8/9/2016,,Complete
-79.66224143,43.50469231,Will Scarlett Drive,Encounter,8/10/2016,,Complete
-79.70364169,43.42195474,457 Warminster Drive,Encounter,8/10/2016,,Complete
-79.70043626,43.41083449,Hixon and Walby,Encounter,8/10/2016,,Complete
-79.66607873,43.49309865,Ford and Kingsway,Encounter,8/11/2016,,Complete
-79.72258105,43.44180045,Nottinghill Gate,Encounter,8/12/2016,,Complete
-79.70210511,43.4236708,464 Tower Drive,Encounter,8/12/2016,,Complete
-79.70575849,43.41891087,1343 Sheldon Avenue,Encounter,8/13/2016,,Complete
-79.70434281,43.42368015,Brookdale Park,Encounter,8/13/2016,,Complete
-79.70334923,43.41798805,1326 Thornhill Dr,Encounter,8/14/2016,,Complete
-79.70497915,43.42272742,Warminster and Bridge,Encounter,8/14/2016,,Complete
-79.70575239,43.41898615,1343 Sheldon Avenue,Encounter,8/14/2016,,Complete
-79.70367707,43.42202801,457 Warminster Drive,Encounter,8/14/2016,,Complete
-79.69824218,43.40864835,123/125 Talbot Dr,Encounter,8/15/2016,,Complete
-79.74714045,43.44619746,,Sighting,9/16/2016,Coyote observed with no interaction,Complete
-79.66914012,43.46962894,,Encounter,9/15/2016,"Walking on path then retreated to bushes. Cornwall Sports Park, between east field and Humane Society",Complete
-79.7183791,43.45932906,,Sighting,8/11/2016,Coyote with dead rabbit in mouth,Complete
-79.67943516,43.43188581,,Sighting,9/14/2016,,Complete
-79.69372759,43.43207228,,Sighting,9/12/2016,Garbage to be collected on Tuesday morning were already out in front of various properties.,Complete
-79.68627105,43.43297423,,Sighting,9/18/2016,Healthy looking coyote came out of Rebeccas St. parking lot area of Morden Public School and was about to cross street as we passed heading west.  We flashed lights at oncoming traffic and saw that it waited then crossed after they passed to head to YMCA.,Complete
-79.67950409,43.43189996,,Sighting,9/20/2016,A coyote has been wandering around our street for the last few days. It came into contact with a neighbour and her dogs (on leash).,Complete
-79.71110408,43.40300159,,Sighting,9/20/2016,Coyote in Seabrook Park walking freely around while I was entered the park. Three other residents also saw this - very brazen just walking around in the daytime and entering a yard that was unfenced.,Complete
-79.71581044,43.41623754,,Encounter,9/20/2016,"Just encountered a coyote in neighbour's back yard located at 565 Swann Drive, Oakville.  The animal appeared healthy and ran off when noise was make.",Complete
-79.72293888,43.38078315,,Sighting,8/18/2016,,Complete
-79.69235828,43.50033407,,Encounter,9/21/2016,"I was on the cul-de-sat at the end of Rock Point Drive.  A coyote came around the corner on the road, stopped when he saw me, and turned around and headed back up the street towards the houses.  I was too far away to see what specific direction he went.",Complete
-79.72593556,43.37965993,,Sighting,9/21/2016,I was out for a walk with my son in a stroller. Coyote came towards us up the path near creek path pond in lakeshore woods. When he saw us he stopped and looked at us for a few seconds and then continued on into the woods towards Great Lakes Blvd.,Complete
-79.72164939,43.40463152,,Sighting,9/22/2016,6 am coyotes were howling in the Queen Elizabeth park,Complete
-79.69769673,43.40891423,,Sighting,9/23/2016,8am signthing on Walby street at corner of Talbot - near bus stop with elementary kids,Complete
-79.70410307,43.40736751,,Sighting,9/1/2016,"Spotted on a neighbour's lawn mid-afternoon. Hixon St., two one block West of Third Line.",Complete
-79.71556727,43.41397584,,Sighting,9/20/2016,Saw one standing in Seabrook Park behind my house. Seemed to wander off towards the road then someone walked into park from the opposite direction and saw one run from the woods through someone's backyard to the road. Not sure if there were 2 or not.,Complete
-79.71594428,43.41474708,,Sighting,9/21/2016,,Complete
-79.72348402,43.38846314,,Sighting,9/23/2016,"sighting September 23 9:00 am - Villagewood park - south entrance
sighting September 23 5:30 pm Villagewood park - north entrance",Complete
-79.65935757,43.50047271,,Sighting,9/16/2016,The coyote was injured.   It has blood running down its hind leg.,Complete
-79.77908621,43.44066351,,Sighting,9/24/2016,William Halton Parkway in the middle of the street. 4 seen in the middle of the road. Needed to use horn to scare away. Headed north.,Complete
-79.7544054,43.42711394,,Sighting,9/23/2016,Coyote crossed upper middle road near the intersection of upper middle road and grand oak trail,Complete
-79.6752883,43.44976387,,Sighting,9/25/2016,,Complete
-79.68449028,43.42946898,,Encounter,9/6/2016,On Appleby college property while walking my dog. The coyote walked in front of us and then followed us. I yelled at it and waved my hands in the air. It had no effect on it at all and it continued following us.  Fourth coyote I have seen there in a year.,Complete
-79.68923976,43.4370592,,Sighting,9/26/2016,Two coyotes running up Mordon Rd towards Lakeshore.  Could hear more coyotes howling south of Lakeshore.,Complete
-79.73716138,43.44692893,,Sighting,9/26/2016,,Complete
-79.72451935,43.39337492,,Sighting,9/25/2016,,Complete
-79.700221,43.433036,,Sighting,9/26/2016,"A coyote Crossed the Morden Rd. opposite the Church in front of our car. He went into the hedge along the Church driveway on the south. It was around 9:00pm. He was the size of a greyhound, lean, probably was looking for food; was not hurrying either.",Complete
-79.69471133,43.44156351,,Sighting,9/27/2016,Saw a coyote at parking lot near office building,Complete
-79.72135234,43.43509833,,Sighting,9/20/2016,Coyote walked across the street (Pilgrims Way) in the early morning (6 am).,Complete
-79.68828948,43.4326242,,Sighting,10/2/2016,Saw coyote both last night and this morning,Complete
-79.69144904,43.4266638,,Sighting,10/2/2016,,Complete
-79.69733248,43.44454284,,Sighting,10/3/2016,Middle of intersection Dorval @ Wycroft.,Complete
-79.65779396,43.50426797,,Sighting,10/3/2016,Coyote sighting on  Greenwood crescent.,Complete
-79.68330453,43.42772672,,Encounter,10/3/2016,Coyote on property.  Had to haze several times.  The coyote kept coming back. Chased it down the street,Complete
-79.65296097,43.50692833,,Sighting,10/3/2016,"Hello, resident of Mississauga but I saw a Coyote run from the Oakville side of Winston Churchill through a cat walk into Mississauga side of Bushland Dr, and continued to go east on side streets. didnt  stop for cars or people. Ran aimlessly...",Complete
-79.77274136,43.43884039,,Sighting,10/4/2016,,Complete
-79.69162579,43.42676524,,Sighting,10/3/2016,I was walking my small dog along burton st and saw the coyote coming up Patricia drive. I quickly went to a neighbours house and within 1 min the coyote crossed at Burton and continued on Patricia drive. This was at 3pm,Complete
-79.69162579,43.42676524,,Encounter,10/4/2016,"Coyote was on the front lawn of 145 Shanley Terrace. It looked mange. My neighbour opened her door. And it ran towards Rebecca and Fourth line.
I live next door with a small dog and I almost encountered it 30min earlier at Burton and Patricia.",Complete
-79.65845516,43.50353838,,Encounter,10/3/2016,I was out jogging and it was squatting in the road. When it saw me it started jogging toward me so I found and open enclosed porch and went in there until it passed.,Complete
-79.67929731,43.45115426,,Sighting,10/4/2016,,Complete
-79.72136507,43.44854031,,Sighting,10/4/2016,Early morning on golf course abutting our backyard,Complete
-79.72312595,43.44911086,,Sighting,10/3/2016,"Coyote hung out near our backyard, which abuts the Glen Abbey golf course for two hours from 7am to 9am, despite workers all over the place.",Complete
-79.74066757,43.44467782,,Sighting,10/4/2016,Saw rage coyote on the walking trail behind our house then walked in to the bush. Taplow creek.,Complete
-79.68897472,43.44200962,,Sighting,10/4/2016,running towards me,Complete
-79.67473755,43.44721927,,Sighting,9/30/2016,2 small coyotes on a residential lawn near street,Complete
-79.68999339,43.44117531,,Sighting,9/26/2016,"walking on street
(i RUN IN THE EARLY MORNING AND HAVE SEEN FOUR IN THE PAST COUPLE OF WEEKS)",Complete
-79.72293148,43.4489578,,Sighting,10/2/2016,"Coyote running on other side of our fence, which backs onto the Glen Abbey golf course. We have seen a coyote three days running, and are keeping our little dog close to us when we go out. I'm worried.",Complete
-79.69037494,43.42145956,,Encounter,10/5/2016,There is a coyote stalking the Tanglewood Ct daycare. I was able to get it to leave by honking and clapping but this is a major concern given there are 40 small children there at all times.,Complete
-79.69042639,43.42136802,,Sighting,10/5/2016,The coyote was in the proximity of my son's daycare,Complete
-79.6350194,43.47504532,,Sighting,10/5/2016,At 12:00 Oct 4 I took dogs out and saw single coyote facing north on Kingsford Place at Bennington Gate.  My flash light was on and I shouted and jangled keys.  Coyote walked west on Bennington - no interaction with us.,Complete
-79.68899176,43.43219451,,Sighting,10/5/2016,"skinny, looked blonder than the one seen here. It was distressed there is a house fire on Rebecca. had run down a driveway right behind the smoke,turned: loud buzz saw on Woodlands, Cars detouring (452 Jeanette) smoke, noise and cars- might be bad combo.",Complete
-79.65411622,43.50044916,,Sighting,10/5/2016,We were alerted to the coyote by 2 others while dog walking in the park...he was in the middle of the field where soccer practise often takes place.,Complete
-79.66728795,43.49944409,,Sighting,10/6/2016,4:30 today I discovered a coyote curled up in the middle of Jonathon Park..my neighbour clapped his hands to frighten it away but it wasn't really interested in leaving. It walked to the end of the soccer field and came back. I had my dog with me.,Complete
-79.65411622,43.50044916,,Encounter,10/6/2016,"Saw a coyote in the soccer field at Johnathan park. It was not frightened when we made noises to startle it to leave. It ran to the edge boardering the trees but returned to lie down in the centre of the field. After 'chasing' it, it ran into the woods.",Complete
-79.65842451,43.50237446,,Encounter,10/6/2016,"OCT 1 to OCT 6 , Seen On our front lawn and forest entrance to Clearview Forest. Seen running on Sidewalks and running past people on sidewalks.",Complete
-79.69765091,43.41424194,,Encounter,10/7/2016,Sitting on grass infrint if French school on Sedgwick Cr. Oakville at 7:15pm,Complete
-79.6962347,43.41583179,,Encounter,10/7/2016,At 7:15 pm I was walking my dog and spotted a coyote sitting on the front lawn of French school on Sedgewick Cres. Oakville scratching himself .,Complete
-79.69765091,43.41424194,,Encounter,10/7/2016,Sitting on grass infrint if French school on Sedgwick Cr. Oakville at 7:15pm,Complete
-79.72521398,43.39232759,,Sighting,10/8/2016,Coyote was crossing Mississauga St at Rebecca.  Seemed as if it was going from the green space on the east side to the green space on the west side .,Complete
-79.6996089,43.40767711,,Sighting,10/9/2016,Coyote at end of my driveway when I left the house.  It saw me and was unfazed.  It went up neigbours drive and possibly into backyard.  I took a video.,Complete
-79.69174245,43.42139673,,Sighting,10/10/2016,,Complete
-79.72050677,43.40488095,,Sighting,10/11/2016,,Complete
-79.72761999,43.46434846,,Sighting,10/10/2016,coyote walked right in front of the house and disapered into the trails. it had a skunk in its mouth,Complete
-79.72531034,43.46441465,,Sighting,10/5/2016,Around 8-9pm coyote was sitting right in the middle of the court on the little island part. Got spooked and disappeared into ravine path,Complete
-79.73523953,43.46033972,,Sighting,10/12/2016,Spotted at least 3 (possibly more) coyotes on the northwest side of neyagawa park around midnight.,Complete
-79.73284192,43.43569232,,Sighting,10/12/2016,"i observed a coyote crossing the road 2 feet in front of me early this morning while I was driving to work.  it was crossing the street near my daughters school, Pilgram Wood.  it was crossing northeast at the intersections of Pilgrams way/Forestbrook rd",Complete
-79.7328003,43.43569013,,Sighting,10/12/2016,correction..i just sent in a previous sighting form but forgot to change the time of the sighting.  it occurred at 5:20 am this morning near Pilgram Wood School.,Complete
-79.69209325,43.42018603,,Sighting,10/13/2016,,Complete
-79.72474717,43.47660753,,Sighting,10/14/2016,"Poor thing looked terrified and confused at Glenashton and 6th Line. Crossed Glenashton twice. Again, looked confused and scared.",Complete
-79.69619743,43.41890752,,Encounter,10/14/2016,Coyote was sleeping on our front lawn and then approached us. Danger as small children left house for school.,Complete
-79.65102682,43.49442223,,Sighting,10/14/2016,,Complete
-79.68473683,43.43380786,,Sighting,10/14/2016,,Complete
-79.74635291,43.44991321,,Sighting,10/16/2016,"Small guy (~40lbs) ran in front of me while i was walking my dog. He was curious, but kept his distance and didn't like my 3800 lumen flashlight. He scampered off in the ravine southbound on Proudfoot Trail.",Complete
-79.69445715,43.41784989,,Sighting,10/16/2016,Coyote was walking eastbound on Sarta Road and turned south onto Willis.,Complete
-79.67704619,43.44886574,,Sighting,10/15/2016,,Complete
-79.67235045,43.45084739,,Sighting,10/16/2016,Has been in the area of 259 Trafalgar Road all day.  Scrawny and does not look well. Sores on side. Doesn't go far from the road on the creek side.,Complete
-79.73750594,43.44692135,,Sighting,10/17/2016,2 coyotes,Complete
-79.66030927,43.45483191,,Sighting,10/17/2016,The coyote was walking down chartwell road at 8:05 in the morning.,Complete
-79.72347865,43.46440297,,Sighting,10/16/2016,"Saw coyote crossing the street as I turned left onto River Oaks Blvd from Munn's Ave around 11:30 pm.  It just continued walking into some trees and did not look very good i.e. patchy and thin and moving but not in a hurry, slow walking.",Complete
-79.69276648,43.41994348,,Sighting,10/18/2016,coyote sighted and public garbage can overturned nearby,Complete
-79.71311929,43.46073549,,Sighting,10/19/2016,Coyote walking around the neighbourhood,Complete
-79.67926627,43.43340191,,Sighting,10/19/2016,It was running through our front yard.,Complete
-79.69959372,43.40082857,,Sighting,10/17/2016,,Complete
-79.65458429,43.49185885,,Sighting,10/20/2016,I am the maintenance contact for Clearview CRC church in Oakville.Our daycare group has heard (via 2 sources)  of 2 sightings this morning; 1 coyote at Sheridan Garden Dr/Winston Churchil by another daycare and 3 at our  'field' by service delivery man.,Complete
-79.72371238,43.44739228,,Sighting,10/22/2016,I was looking out my window from Outlook Terrace and I saw a coyote jog through the green space in FairwayHills that borders Dorval Drive. I then watched it make its way into the Fairway Hills neighbourhood. At this point I lost sight. Medium size,Complete
-79.69255652,43.42635033,,Sighting,10/23/2016,Coming out of creek on fourth line crossing fourth line heading into house under construction on west side of fourth line,Complete
-79.7065301,43.45337362,,Sighting,10/27/2016,"It was running along the sidewalk on the south end of Richards Crescent in Oakville. Around 1226 Richards, it crossed the street and ran back towards Oxford.",Complete
-79.65477767,43.46150962,,Encounter,10/25/2016,Walking my dog on a leash. Coyote crossed the road towards us. Then veered off into the bush.,Complete
-79.6681126,43.45681511,,Sighting,10/24/2016,A coyote hopped the fence abutting my property and the back of Post Park.  It was large.  It wandered my property for several hours before exiting.  I could not see where it exited.,Complete
-79.72359588,43.46443521,,Sighting,10/28/2016,,Complete
-79.67160473,43.45714505,,Sighting,10/28/2016,,Complete
-79.70021858,43.40952331,,Sighting,10/29/2016,Sitting on my driveway and then strolling into my backyard.  A neighbour in a vehicle alerted us to the coyote sitting behind the car at the end of our driveway.,Complete
-79.69989828,43.40968196,,Sighting,10/29/2016,Big Coyote was walking down our street  going towards Walby Street.,Complete
-79.67078427,43.50169432,,Sighting,10/30/2016,"I saw 3 coyotes walking from the residential area by Sherwood heights. They crossed the street, heading to the open field near petrol Canada gas station",Complete
-79.73807926,43.4605989,,Sighting,11/2/2016,,Complete
-79.66154108,43.50341887,,Sighting,11/2/2016,,Complete
-79.67055855,43.41869483,,Sighting,11/3/2016,On third line and lakeshore on the east side of third line right across from oakville Christian school. Coyote took a squirrel and ate it.,Complete
-79.65742159,43.50901753,,Sighting,11/4/2016,Coyote ran down street. Stayed in middle of road.,Complete
-79.65550212,43.51680407,,Sighting,11/4/2016,Rain in front or my car. No interaction.,Complete
-79.75260744,43.45310297,,Sighting,11/4/2016,I saw 2 coyote or wolves.... they were quite large with white and grey fur.,Complete
-79.67781136,43.44952017,,Encounter,11/4/2016,"I was with my 2 year old daughter and cockapoo at the park at dusk, maybe a little later but the park is well lit. I saw the coyotee within 15 feet staring at my dog. I slowly picked my dog up and saw the coyotee then turn away and run.",Complete
-79.68211294,43.43154426,,Sighting,11/16/2016,,Complete
-79.73180987,43.45983672,,Sighting,11/18/2016,Coyote was on the road in front of my house. I was putting out the garbage when I looked up and saw the coyote walking past me!,Complete
-79.70889615,43.40737513,,Sighting,11/20/2016,Spotted in backyard,Complete
-79.74570508,43.45412041,,Encounter,11/19/2016,"Spotted in the middle of St. Volodymyr Ukrainian Cemetery in Oakville at 1280 Dundas St W, Oakville. The coyote was not to intimidated by humans, walking and stopping at times. Seemed not too healthy, lost fur on its tail, see attached photos.",Complete
-79.72264181,43.46743983,,Sighting,11/7/2016,"Sighted just now On Munn's Avenue, Crossing the road from Munn's Creek Trail into other side of street into the park - but going into the side of the road the school is on.",Complete
-79.6714782,43.46321582,,Encounter,11/8/2016,"We heard animal screaming and a very loud fight between two animals , when we shone a flashlight we saw coyote eyes reflected.  It was killing an animal two backyards over from us.",Complete
-79.70916638,43.45518266,,Sighting,11/8/2016,A coyote was spotted in Odessa Parkette at approx 7:15 am. The coyote ran into Glen Abbey Golf Club after hearing my dog barking.,Complete
-79.70804777,43.45620921,,Sighting,11/8/2016,"Sighting of Coyote at 7:30am, Nov 8, 2016 at the intersection of Culham and Oxford. He was walking down middle of road, appeared scared + unsure which way to go. I stopped + warned a young school girl waiting for the bus until he ran off out of sight.",Complete
-79.65967872,43.47466598,,Sighting,11/10/2016,,Complete
-79.73531256,43.38617085,,Sighting,5/8/2016,,Complete
-79.63492172,43.47382736,,Sighting,4/11/2016,,Complete
-79.69815594,43.42475668,,Sighting,11/4/2016,,Complete
-79.67552167,43.45923588,,Sighting,11/12/2016,"While walking westbound on south side of Cornwall, two coyotees ,one large (bigger than German Shepard) followed by a smaller one crossed from SE corner of Watson/Cornwall across the road northbound into Morrison Creek eastern wooded area.adjacent to park",Complete
-79.70501057,43.4659141,,Sighting,11/15/2016,While walking Mccraney Valley Trail spotted coyote on the field between Munns and the new school,Complete
-79.68012343,43.44910735,,Sighting,11/16/2016,"Coyotee was next door when I arrived home, another car also arrived at the same time on other side of the front yard where he was spotted. He proceeded towards the road and casually trotted down the street, not long enough for me to capture a picture.",Complete
-79.64294181,43.51002094,,Sighting,11/21/2016,Coyote ran down the middle of the road into the cat walk along the creek. It looked confused then ran out into street towards a woman walking.,Complete
-79.70087624,43.4248371,,Sighting,11/21/2016,Coyote looked very  thin and had mange. It was walking in the road even though there was traffic.,Complete
-79.69269894,43.42296545,,Sighting,11/21/2016,Seen in residential area. Ran across Rebecca just eat of Spring Garden Rd.,Complete
-79.7546598,43.44408792,,Sighting,11/23/2016,Coyote in front of house when I arrived home at 10:40 p.m. Coyote moved away but stayed in area.,Complete
-79.72502453,43.48115267,,Sighting,11/23/2016,"One coyote was observed with no interaction running from the construction site on Hays Boulevard, Oakville towards Halton Regional Police parking lot. It's not the first time coyotes are observed in the mentioned above area.",Complete
-79.68372974,43.42919556,,Sighting,11/24/2016,Saw coyote running along Birch Hill Lane,Complete
-79.68029894,43.42703775,,Encounter,11/23/2016,Coyote spotted on Town trail project along the waterfront of Birch Hill Lane.,Complete
-79.75514376,43.44378499,,Sighting,11/23/2016,Spotted large Coyote probably 30 pounds at the end of my street where there is large pond surrounded by dense bush and long grass. He came out into the road was running around and then went back into the brush.,Complete
-79.75446353,43.44356524,,Sighting,11/25/2016,Very large coyote seen walking,Complete
-79.69791773,43.4258658,UNKNOWN,Sighting,11/26/2016,Coyote walking down Winston Rd during day. Pedestrian chased it away.,Complete
-79.71093665,43.44078815,UNKNOWN,Sighting,11/26/2016,Matted coyote walking south on lees lane south of sarta road towards Rebecca.  Coyote is pearingbin backyards along the way.,Complete
-79.69520929,43.42374935,UNKNOWN,Sighting,11/26/2016,coyote on Winston Rd. at Scott Ave. chasing squirrels. Presently lying on a yard opposite ours.,Complete
-79.75508203,43.44382925,,Sighting,11/24/2016,,Complete
-79.72828748,43.46364071,,Sighting,11/28/2016,"Coyote exited from trail system and walked along sidewalk, across a street and onto a house porch. Coyote did not appear fearful of traffic or myself and 2 dogs.",Complete
-79.74782792,43.45508701,,Sighting,12/1/2016,I saw a coyote running around behind the St. Volodymyr Cultural Centre in the Ukrainian cemetery open grounds today morning at 8.50 am,Complete
-79.73694937,43.42916649,,Sighting,12/1/2016,Coyote was sighted crossing Heritage Way (Heritage Way & King's College) and entered the trail across the street from St. Bernadette. I was at the stop sign while it crossed the road and entered the trail.,Complete
-79.71362738,43.4590455,,Sighting,12/1/2016,"coyote in yards on road at all hours of day, no fear of humans at all, have reported man feeding and putting out large amounts of food for the wild life 2 times before, wild life officers have been here twice to talk to him about this with no resolve.",Complete
-79.66481874,43.44363145,,Sighting,11/14/2016,Saw the Coyote walking around bushes along the lake and then walked down to the water.,Complete
-79.67956553,43.43327808,,Sighting,12/2/2016,,Complete
-79.65993871,43.49952675,,Encounter,12/2/2016,"The coyote approached my baby and in the park. It got within about 10 feet, bared it's teeth and growled.  It also appeared to have mange.  It's fur was patchy and looked to be missing in places.",Complete
-79.74870215,43.41385975,,Encounter,12/4/2016,I have encounter a coyote 3 times this week at Bronte Creek in the leash free zone. He is definerly not scared of humans and he tends to come closer and closer.,Complete
-79.65906166,43.50148726,,Sighting,12/4/2016,Injured coyote at back fence of 2911 Abbotwood Crt L6J 6V9,Complete
-79.6614408,43.49938055,,Sighting,12/4/2016,"Seen wandering around at our neighnourhood park adjacent to James W Hill school. Its fur was discoloured, and it had a large red patch on its side (either from an altracation with another animal, or due to disease).",Complete
-79.65809038,43.49995857,,Sighting,12/5/2016,"On sir David and Jonathan, running around",Complete
-79.68132506,43.43732927,,Encounter,12/5/2016,"Two coyotes sighted in Barclay Square 223 Rebecca Street Oakville, this evening at 6.15 pm. Both were aggressive and followed me to my car in the driveway.",Complete
